Title,Body,Status,Priority,Estimate,Labels,Milestone
Implement red-overlay threshold behavior,"## Objective
Show warning state near timer expiration.

## Scope
- Add setting `red_overlay_seconds`.
- Apply red tint when timer <= threshold.
- Respect disabled threshold.

## Acceptance Criteria
- Overlay enters warning state at correct time.
- Threshold updates reflect without restart.",Next,P1,S,"overlay,priority:P1",Parity
Add global keyboard adapter,"## Objective
Capture global keyboard keydown events.

## Scope
- Background listener for keydown.
- Normalize key names into input contract.
- Add start/stop lifecycle hooks.

## Acceptance Criteria
- Captures keys while app out-of-focus.
- No duplicate events from key repeat beyond expected behavior.",Next,P1,M,"input,priority:P1",Parity
Add global mouse adapter,"## Objective
Capture and normalize global mouse button events.

## Scope
- Listen for mouse button down.
- Map to MOUSE1/MOUSE2/MOUSE3/MOUSEX1/MOUSEX2.
- Emit normalized events.

## Acceptance Criteria
- Mappings verified with test harness/logging.
- No crash when extra buttons unavailable.",Next,P1,M,"input,priority:P1",Parity
Add gamepad adapter,"## Objective
Capture gamepad button input for tracker triggers.

## Scope
- Poll or event-based button detection.
- Normalize button names (`Buttons0...`).
- Graceful fallback if no controller attached.

## Acceptance Criteria
- Controller input reaches tracker engine.
- App remains stable without gamepad.",Next,P1,M,"input,priority:P1,risk:med",Parity
Integrate InputRouter start/stop,"## Objective
Centralize lifecycle control for all input adapters.

## Scope
- One router orchestrates keyboard/mouse/gamepad start/stop.
- Wire play/stop UI to router + tracker service.

## Acceptance Criteria
- Start enables all configured adapters.
- Stop fully detaches listeners/timers cleanly.",Next,P1,S,"input,priority:P1",Parity
Build profiles CRUD UI,"## Objective
Provide profile management UX.

## Scope
- Profile list/dropdown.
- Add profile dialog.
- Delete profile confirmation.
- Persist last selected profile.

## Acceptance Criteria
- Switching profile updates visible skill rows.
- CRUD actions persist immediately.",Next,P1,M,"ui,priority:P1",Parity
Build skill rows UI,"## Objective
Allow full skill configuration in main UI.

## Scope
- Skill list with columns:
  - Enabled
  - Icon
  - Duration
  - Select Key
  - Skill Key
- Add/remove skill actions.

## Acceptance Criteria
- Editing row updates model state.
- Add/remove persists and reflects instantly.",Next,P1,L,"ui,priority:P1",Parity
Build play/stop + preview controls,"## Objective
Control runtime tracker and overlay modes.

## Scope
- Play/stop toggle.
- Preview toggle (eye button equivalent).
- Visual state feedback.

## Acceptance Criteria
- Play starts listeners + runtime overlay.
- Stop detaches listeners and closes runtime overlay.
- Preview toggles independently when not running.",Next,P1,M,"ui,overlay,priority:P1",Parity
Port options dialog,"## Objective
Expose runtime and visual settings in dedicated dialog.

## Scope
- Insert-left toggle
- Vertical/horizontal toggle
- Show digits toggle
- Start on app launch toggle
- Scale slider
- Red overlay threshold

## Acceptance Criteria
- Option changes persist.
- Overlay behavior updates correctly for each setting.",Later,P2,M,"ui,priority:P2",Release
Add system tray integration,"## Objective
Support tray-first desktop app behavior.

## Scope
- Tray icon
- Open/Hide action
- Exit action
- Optional minimize-to-tray behavior

## Acceptance Criteria
- Closing main window can hide to tray.
- Exit from tray performs clean shutdown and save.",Later,P2,M,"ui,priority:P2",Release
Add single-instance lock,"## Objective
Prevent duplicate running instances.

## Scope
- Implement app lock/mutex strategy.
- Handle second launch gracefully.

## Acceptance Criteria
- Second launch does not create duplicate worker listeners.
- Existing instance remains primary.",Later,P2,S,"backend,priority:P2",Release
Create PyInstaller packaging,"## Objective
Produce distributable Windows executable.

## Scope
- Build spec including icons/assets.
- Document signing/notarization steps if applicable.
- Smoke test executable on clean environment.

## Acceptance Criteria
- One-file or one-folder artifact launches correctly.
- Overlay and input features work in packaged build.",Later,P2,M,"packaging,priority:P2",Release
Add CI pipeline,"## Objective
Automate quality gates and artifact generation.

## Scope
- PR workflow: lint + test.
- Optional release workflow: build artifact.
- Cache dependencies for speed.

## Acceptance Criteria
- PR checks block merge on failures.
- Release workflow outputs downloadable artifact.",Later,P2,M,"test,packaging,priority:P2",Release
Write contributor docs,"## Objective
Make project maintainable for new contributors.

## Scope
- Setup guide
- Architecture overview
- Debugging and troubleshooting
- Release process

## Acceptance Criteria
- New developer can run app locally in under 15 minutes.",Later,P2,S,"docs,priority:P2",Release
